id,status
1348,extracted
1349,extracted
1350,extracted
1351,extracted
1352,extracted
1353,extracted
1354,extracted
1355,extracted
1356,extracted
1357,extracted
1358,extracted
1359,extracted
1360,extracted
1361,extracted
1362,extracted
1363,extracted
1364,extracted
1365,extracted
1366,extracted
1367,extracted
1368,extracted
1369,extracted
1370,extracted
1371,extracted
1372,extracted
1373,extracted
1374,extracted
1375,extracted
1376,extracted
1377,extracted
1378,extracted
1379,extracted
1380,extracted
1381,extracted
1382,extracted
1383,extracted
1384,extracted
1385,extracted
1386,extracted
1387,extracted
1388,extracted
1389,extracted
1390,extracted
1391,extracted
1392,extracted
1393,extracted
1394,extracted
1395,extracted
1396,extracted
1397,extracted
1398,extracted
1399,extracted
1400,extracted
1401,extracted
1402,extracted
1403,extracted
1404,extracted
1405,extracted
1406,extracted
1407,extracted
1408,extracted
1409,extracted
1410,extracted
1411,extracted
1412,extracted
1413,extracted
1414,extracted
1415,extracted
1416,extracted
1417,extracted
1418,extracted
1419,extracted
1420,extracted
1421,extracted
1422,extracted
1423,extracted
1424,extracted
1425,extracted
1426,extracted
1427,extracted
1428,extracted
1429,extracted
1430,extracted
1431,extracted
1432,extracted
1433,extracted
1434,extracted
1435,extracted
1436,extracted
1437,extracted
1438,extracted
1439,extracted
1440,extracted
1441,extracted
1442,extracted
1443,extracted
1444,extracted
1445,extracted
1446,extracted
1447,extracted
1448,extracted
1449,extracted
1450,extracted
1451,extracted
1452,extracted
1453,extracted
1454,extracted
1455,extracted
1456,extracted
1457,extracted
1458,extracted
1459,extracted
1460,extracted
1461,extracted
1462,extracted
1463,extracted
1464,extracted
1465,extracted
1466,extracted
1467,extracted
1468,extracted
1469,extracted
1470,extracted
1471,extracted
1472,extracted
1473,extracted
1474,extracted
1475,extracted
1476,extracted
1477,extracted
1478,extracted
1479,extracted
1480,extracted
1481,extracted
1482,extracted
1483,extracted
1484,extracted
1485,extracted
1486,extracted
1487,extracted
1488,extracted
1489,extracted
1490,extracted
1491,extracted
1492,extracted
1493,extracted
1494,extracted
1495,extracted
1496,extracted
1497,extracted
1498,extracted
1499,extracted
1500,extracted
1501,extracted
1502,extracted
1503,extracted
1504,extracted
1505,extracted
1506,extracted
1507,extracted
1508,extracted
1509,extracted
1510,extracted
1511,extracted
1512,extracted
1513,extracted
1514,extracted
1515,extracted
1516,extracted
1517,extracted
1518,extracted
1519,extracted
1520,extracted
1521,extracted
1522,extracted
1523,extracted
1524,extracted
1525,extracted
1526,extracted
1527,extracted
1528,extracted
1529,extracted
1530,extracted
1531,extracted
1532,extracted
1533,extracted
1534,extracted
1535,extracted
1536,extracted
1537,extracted
1538,extracted
1539,extracted
1540,extracted
1541,extracted
1542,extracted
1543,extracted
1544,extracted
1545,extracted
1546,extracted
1547,extracted
1548,extracted
1549,extracted
1550,extracted
1551,extracted
1552,extracted
1553,extracted
1554,extracted
1555,extracted
1556,extracted
1557,extracted
1558,extracted
1559,extracted
1560,extracted
1561,extracted
1562,extracted
1563,extracted
1564,extracted
1565,extracted
1566,extracted
1567,extracted
1568,extracted
1569,extracted
1570,extracted
1571,extracted
1572,extracted
1573,extracted
1574,extracted
1575,extracted
1576,extracted
1577,extracted
1578,extracted
1579,extracted
1580,extracted
1581,extracted
1582,extracted
1583,extracted
1584,extracted
1585,extracted
1586,extracted
1587,extracted
1588,extracted
1589,extracted
1590,extracted
1591,extracted
1592,extracted
1593,extracted
1594,extracted
1595,extracted
1596,extracted
1597,extracted
1598,extracted
1599,extracted
1600,extracted
1601,extracted
1602,extracted
1603,extracted
1604,extracted
1605,extracted
1606,extracted
1607,extracted
1608,extracted
1609,extracted
1610,extracted
1611,extracted
1612,extracted
1613,extracted
1614,extracted
1615,extracted
1616,extracted
1617,extracted
1618,extracted
1619,extracted
1620,extracted
1621,extracted
1622,extracted
1623,extracted
1624,extracted
1625,extracted
1626,extracted
1627,extracted
1628,extracted
1629,extracted
1630,extracted
1631,extracted
1632,extracted
1633,extracted
1634,extracted
1635,extracted
1636,extracted
1637,extracted
1638,extracted
1639,extracted
1640,extracted
1641,extracted
1642,extracted
1643,extracted
1644,extracted
1645,extracted
1646,extracted
1647,extracted
1648,extracted
1649,extracted
1650,extracted
1651,extracted
1652,extracted
1653,extracted
1654,extracted
1655,extracted
1656,extracted
1657,extracted
1658,extracted
1659,extracted
1660,extracted
1661,extracted
1662,extracted
1663,running
1664,extracted
1665,extracted
1666,extracted
1667,running
1668,running
1669,running
1670,running
1671,running
1672,running
1673,running
